N (Subdivisions),Result,Time (s)
10,50.82245588843322,2.7375004719942808e-05
50,50.82242163360841,2.066700835712254e-05
100,50.82242163398435,1.345800410490483e-05
500,50.82242163400964,3.1042000045999885e-05
1000,50.82242163400986,4.850000550504774e-05
