m (Levels),N (Subdivisions),Result (y=1),Time (s) (y=1),Result (y=0),Time (s) (y=0)
4,8,0.8205121090516836,4.395800351630896e-05,50.82051210905237,3.058300353586674e-05
6,32,0.8224219178211539,5.037499067839235e-05,50.82242191782145,4.733300011139363e-05
7,64,0.8224216324415012,5.8457997511141e-05,50.822421632441646,5.862500984221697e-05
9,256,0.8224216324415012,5.60000044060871e-05,50.822421632441646,5.808300920762122e-05
10,512,0.8224216324415012,5.529199552256614e-05,50.822421632441646,5.820801015943289e-05
