N (Subdivisions),Result,Time (s)
10,0.8224558884334332,6.0250007663853467e-05
50,0.822421633608059,1.550000160932541e-05
100,0.822421633984441,1.2999997125007212e-05
500,0.8224216340095886,3.066600766032934e-05
1000,0.8224216340096266,4.979199729859829e-05
