m (Levels),Result,Time (s)
4,50.82051210905237,4.0166996768675745e-05
6,50.82242191782145,4.8457994125783443e-05
7,50.822421632441646,5.8375007938593626e-05
9,50.822421632441646,5.7083991123363376e-05
10,50.822421632441646,5.6958990171551704e-05
